user,text,latitude,longitude
filmbilly,"b'Holiday Bronx Cheer @ Chicago, Illinois https://t.co/WaaTGD9z3f'",41.883222,-87.632496
AgelessMed,"b'Laser Hair Removal 30% OFF package??.                                     Experience smooth skin ,less irritation a? https://t.co/X07wqucmi7'",41.883222,-87.632496
cosmickev94,b'Had an awesome day with b_stone_b so glad you got to see what I?m building here. @ Millennium Park https://t.co/j9ArnjH6Tz',41.88264113,-87.62320894
Chachipoo87,b'Today is it! Last Day to get your Shoe Donations in!\n.\nContact me directly for drop off options!!\n.\n#k4tc? https://t.co/KGRfrfcYgS',41.883222,-87.632496
dynamicsalonchi,b'#ChiBizWomen Thank You BACP for having Dynamic Salon at the 2018 Mayoral Women Entrepreneurs Luncheon? https://t.co/ianmeiVZ07',41.88392799,-87.62468273
charlesprotege,"b'You know what they say about Chicago weather. If you don?t like the weather, wait 15 mins. @ Chicago, Illinois https://t.co/UvVBZsAMCY'",41.883222,-87.632496
DJVincentR,"b'Dec 12th it hits the stores!!! Hope you enjoy these artist creations!!! @ Chicago, Illinois https://t.co/e6TchmoRsQ'",41.883222,-87.632496
TmjChiDefBeneft,b'This #job might be a great fit for you: Benefits Specialist - https://t.co/Tz8qjGAdtC #DefinedBenefits #WindyCity? https://t.co/uwhqX53OPt',41.877512,-87.627227
JakeThurmGolf,"b'I am so happy and proud of these two: scottgregory94 &amp; sianielucy.  Congrats Scott, on earning your @europeantour c? https://t.co/dtAvJrvDza'",41.883222,-87.632496
edegeyter,b'#chicago #millenniumpark @ Millennium Park https://t.co/43ZRKAmLPb',41.88264113,-87.62320894
KGA75,b'CHICAGO! \nThe Original Barber &amp; Beauty mlbmidwesttradeshow January 13th 2019. \nBarber and Beauty Educational \nPriva? https://t.co/6DKccmxILJ',41.883222,-87.632496
cosmickev94,"b""Mi Dianita ?? @ Pizano's Pizza https://t.co/0DQITUoulC""",41.882034,-87.625725
curtismatzke,"b'Check out this spooky #tree I came across last night. @ Chicago, Illinois https://t.co/AecLPlKoUc'",41.883222,-87.632496
edegeyter,b'#chicago #millenniumpark @ Millennium Park https://t.co/7gRcz7ZsAY',41.88264113,-87.62320894
Malgorzattaa,"b'I give you my best smile #canecorso #canecorsomania #dogsofinstagram #pies #purehappiness @ Chicago, Illinois https://t.co/LtnK1SMrmW'",41.883222,-87.632496
edegeyter,b'#chicago #millenniumpark @ Millennium Park https://t.co/T7LWldwxrz',41.88264113,-87.62320894
MyCWTjobs,"b'This #job might be a great fit for you: UX Research Intern - https://t.co/Qq3wfqDw2J #IT #Chicago, IL #Hiring'",41.8781136,-87.6297982
edegeyter,b'#chicago #millenniumpark @ Millennium Park https://t.co/WobAtGgm71',41.88264113,-87.62320894
nickdotvr,b'I wanted to share a #blackandwhite version of this photo you might recall me sharing a color version of a while bac? https://t.co/rPJfzN8GP0',41.88553413,-87.62732172
tmj_chi_itjava,"b""Want to work at Accenture? We're #hiring in #Chicago, IL! Click for details: https://t.co/tV2qIaKms2 #OpenSource #Job #Jobs #CareerArc""",41.8781136,-87.6297982
effiesdress,"b'My Princess is 4 months old today ????? @ Chicago, Illinois https://t.co/FtOHPOn8ja'",41.883222,-87.632496
chase_mccoy,b'@jwsid Tints is so good!',41.8793335,-87.62813877
tmj_chi_banking,"b""We're #hiring! Click to apply: Commercial Loan Closer - https://t.co/8IIleZe5DC #Banking #Chicago, IL #Job #Jobs #CareerArc""",41.8781136,-87.6297982
sarahshook,"b'Yeap we released a 7"" today??snag a copy via link in bio and stream ""Devil May Care"" + ""The Way She Looked At You""? https://t.co/v1TRpplVzf'",41.883222,-87.632496
tmj_chi_legal1,"b'Can you recommend anyone for this #job? Transactional Attorney - https://t.co/i1GlW2Iv14 #Legal #Chicago, IL #Hiring #CareerArc'",41.8781136,-87.6297982
KingJoeCross,"b'Yes #Women #Business #Entrepreneur #Success #Life @ SMASH Media ""Social Media Marketing and Business Systems"" https://t.co/O3U4Je7X74'",41.8790306,-87.63572588
MahmudTheMedium,"b'Quickie.. @ Chicago, Illinois https://t.co/KA1Nl4Fmlq'",41.883222,-87.632496
effiesdress,"b'My princess is 4 months old ???? @ Chicago, Illinois https://t.co/KGfyu8imb4'",41.883222,-87.632496
geoffdenver,"b'Officially an Italian citizen. ?? #italia #italy #unitalianovero #travel @ Chicago, Illinois https://t.co/v3pQgtA7Vz'",41.883222,-87.632496
tmj_chi_itdb,"b'This #job might be a great fit for you: Cloud Native Architect - https://t.co/LaJ9OgFZ2a #Database #Chicago, IL #Hiring #CareerArc'",41.8781136,-87.6297982
KINGBDT,"b'This that overseas drip? @ Chicago, Illinois https://t.co/0bxpWPkOp1'",41.883222,-87.632496
TheNikStewart,b'When you and your girls get the same callback!!! Love these girls!!?? #girlpower #womenempoweringwomen #melanin? https://t.co/FSgRXHWPzy',41.883222,-87.632496
lslipsmackinbbq,b'? #cornedbeefhash #foodie #instafood #chicago @ Wildberry Pancakes &amp; Cafe https://t.co/JhqspYcBbE',41.88514,-87.62313
badgalmawmaw,"b'*~*time for my annual end of the year existential crisis*~* en Chicago, Illinois https://t.co/KKEyegPH7f'",41.883222,-87.632496
joeeatsworld,b'My lavalier ? arrived yesterday. I tested them out and work with my iPad and MacBook Pro. I can now podcast on loca? https://t.co/XhaF62GXtP',41.883222,-87.632496
Pesh22,b'My brother @montanaof300 dropped a classic \n\n?A Gun In The Teacher?s Desk? out now!!!! \n\nPresented by #fge &amp; tsomus? https://t.co/Sel0wGyyh4',41.883222,-87.632496
illa_ills,"b'STAFF OF MOSES | New Music and video coming soon.\nKeeping the winter warm, stay tuned. \n________________________? https://t.co/3Bz7bw0iRP'",41.883222,-87.632496
gingerrlu,b'every day feels exactly the same without u ?#meimeiXchi .\n.\n.\n.\n.\n.\n.\n.\n.\n#streetstyle #currentlywearing? https://t.co/i8q0iQKveU',41.883222,-87.632496
Kutarkuta01,"b'My guy @gbenrostyle bless me with the Aboki hat then my peoples sentrolapparel bless me with the sweater, pants for? https://t.co/mAQvamTyPz'",41.883222,-87.632496
tmj_chi_cler,"b'See our latest #Chicago, IL #job and click to apply: Front Desk Receptionist - https://t.co/o8CEZmpPNv #Clerical #Hiring #CareerArc'",41.8781136,-87.6297982
Jokehustler,"b'Fusion Friday Tonight!!! \n@fab_monroe &amp; @brandon11452997 \n$10 all night 6-9pm Come Chill with me @ Chicago, Illinois https://t.co/C82lmcfXnj'",41.883222,-87.632496
jekubitz,b'Oils are invading my desk at work! Hope my new coworkers like them! #oillifeproblems\n.\n?M-grain-because sometimes s? https://t.co/hVj0GUGgrf',41.883222,-87.632496
g4Aperture,"b'People cross paths all the time, but how many say Hello? @ Chicago, Illinois https://t.co/WMkpNex5J4'",41.883222,-87.632496
Pantha_Gunsmith,"b'https://t.co/UH93POfB4v #chicago #hiphop @ Chicago, Illinois https://t.co/TgnudqHtNG'",41.883222,-87.632496
tmj_chi_mgmt,"b'See our latest #Chicago, IL #job and click to apply: Customer Advisor (Category Management) -? https://t.co/2p35HN0WMl'",41.8781136,-87.6297982
ErikJAWS,"b'Trifecta Shoot: # 14. Do You Have an Agent? \n-\n-\n- Model: thefanged4 \n-\n-\n- Photographer: @ErikJAWS - @ Chicago, Il? https://t.co/SuASTBAQvO'",41.883222,-87.632496
tmj_chi_itdnet,"b""We're #hiring a Application Programmer to join our team in #Chicago, IL. Apply: https://t.co/Bebi0rdJc6 #CareerArc""",41.8781136,-87.6297982
AllShoesMatter,"b""Well we did it again guys another Angeles feature hard work really does pay off don't let anybody tell you differen? https://t.co/9XyqjoP6to""",41.883222,-87.632496
vegasstyleguy,"b""Yup that's my dads 1st #cousin on the right. #blackfamily come in allshades #blackhistory @ Chicago, Illinois https://t.co/tkMXcMkafJ""",41.883222,-87.632496
vegasstyleguy,b'It may take her a couple of minutes but by the time she finds her gun you would really want to be two blocks away.? https://t.co/EBljkNwhPn',41.883222,-87.632496
Tacky_Nerd,"b'KissItBetter.mp3 ? @ Chicago, Illinois https://t.co/rVyYrkhJwQ'",41.883222,-87.632496
enhancedbody,b'I have soooo many thoughts about chaturanga and alignment in general.\n.\nHere?s what I know about the pose and my bo? https://t.co/N9bjIL5dD8',41.883222,-87.632496
vegasstyleguy,b'The women in my #family are #hotaf but they will cut you and still have you paying a light bill. #blackfamily? https://t.co/7KOydKrPQa',41.883222,-87.632496
mercy_loyal,b'Use code MLGIVE45 at checkout &amp; save 45% plus free shipping on all US orders // https://t.co/pvdoPgEI1C? https://t.co/rjhFIwFF6m',41.8781136,-87.6297982
vegasstyleguy,b'My #blackfamily has ALWAYS been #fashion Yaaas KWEEN at the #backyard #bbq in a hooded #dress with #feathers on her? https://t.co/jtm5H7XrOw',41.883222,-87.632496
wearecareful,b'13 years ago I started working for threadless! I?ve been very fortunate to do what I love surrounded by so many ins? https://t.co/huu5og8PJS',41.883222,-87.632496
g4Aperture,"b'You may be surprised when you take a look around! \n?\n?\n?\n?\nModel: @ajstreetr \nShooter: Matt Marion @ Chicago, Illin? https://t.co/dULr2jGnXC'",41.883222,-87.632496
g4Aperture,"b'The world is small, live in it! \n\n?????: @ajstreetr  \n?: Matt Marion @ Chicago, Illinois https://t.co/OmsUof5Crk'",41.883222,-87.632496
g4Aperture,"b'Say Hi to strangers! The paths we cross daily remain uncharted, until someone says ?Hello?.\n\n?????: @ajstreetr \n?:? https://t.co/lbiN3W4vIf'",41.883222,-87.632496
tmj_chi_jobs,"b""We're #hiring! Click to apply: Workforce Real Time Analyst - https://t.co/xUDz82S7iN #WindyCity #ChiTown #CHI? https://t.co/g0Ot8DghhN""",41.8781136,-87.6297982
LeanaShenise,"b'#FlashbackFriday ? I felt this frustration in my spirit when playing this role. Many times I find that I ask, throu? https://t.co/PzON8WzafU'",41.883222,-87.632496
runningfortacos,"b'Thanks for making me feel like a hero, and giving me another back tag. Love you all ?????????\n#npchi #justshowup? https://t.co/00dW8rv6ZV'",41.88264113,-87.62320894
Bautista_Steven,b'My second @DIBIties Watch and it?s so versatile! Be sure to check them out and grab this month @sprezzabox  !? https://t.co/2Bg7P9w2wu',41.883222,-87.632496
TmjChiHealthWlf,"b'See our latest #Chicago, IL #job and click to apply: Medical Social Worker - https://t.co/ZCHX2QQTfq #HealthWelfare #Hiring #CareerArc'",41.8781136,-87.6297982
ColinRohlfing,b'HDR CHICAGO Greenbuild reception #lifeathdr #sustainable #architecture @black_column @ HDR https://t.co/4QGkDbXGLW',41.88037,-87.62858
ITS_MEACH,"b'Tonight It?s Goin Up ???? Meet Da Gang There it?s always a Function ???? @147calboy @ Chicago, Illinois https://t.co/jVYFF31VNt'",41.883222,-87.632496
tmj_chi_itpm,"b'When you join Dentsu Aegis Network, you?re becoming part of a 50,000-strong team. A team spread across 145 countrie? https://t.co/FTbky21mni'",41.8781136,-87.6297982
tmj_chi_itjava,"b'See our latest #Chicago, IL #job and click to apply: Cloud Services Operations Specialist - https://t.co/emDfbHNCqt? https://t.co/xJdMirxqIh'",41.8781136,-87.6297982
8toshibow8,"b'??????????????????????????????\n\n??????? ??: Chicago, Illinois https://t.co/RjvfDSo8zz'",41.883222,-87.632496
tmj_chi_adv,"b'Join the Enterprise Holdings team! See our latest #job opening here: https://t.co/KTN2sIiU0i #Marketing #Chicago, IL #Hiring #CareerArc'",41.8781136,-87.6297982
tmj_chi_banking,"b""Want to work at U.S. Bank? We're #hiring in #Chicago, IL! Click for details: https://t.co/tBn9LomJ74 #Banking #Job #Jobs #CareerArc""",41.8781136,-87.6297982
tmj_chi_ins,"b'See our latest #Chicago, IL #job and click to apply: Claims Adjuster (Health Team) - https://t.co/ZbjiJOWQPU? https://t.co/f0SkTZ4xIl'",41.8781136,-87.6297982
tmj_chi_media,b'Customer experience is what we do! Our whole team is passionate about retail - focusing on the customer?s needs. Co? https://t.co/L97Egz0xIy',41.8781136,-87.6297982
tmj_chi_sales,"b""We're #hiring! Read about our latest #job opening here: Technology Fulfillment Sr Manager - https://t.co/tInh14g7C3? https://t.co/TnN79JIKRF""",41.8781136,-87.6297982
collect_ent,b'New Video done for @bigloovy ?(Bio)?? ?\n?\n?\n#videographer #videography #video #photoshoot #photographer #musicvideo? https://t.co/U9HXvEM3Ro',41.883222,-87.632496
tmj_chi_finance,"b'Join the Accountemps team! See our latest #job opening here: https://t.co/80uaUJtwan #Finance #Chicago, IL #Hiring #CareerArc'",41.8781136,-87.6297982
artfulattempt,"b""That one time I was in Portland and it was my favorite temperature - 60s. Here's to it really becoming stay inside? https://t.co/OehrylYUnb""",41.883222,-87.632496
THCann4Cannabis,b'#Repost @chicagonorml with get_repost\n???\nChicago! We need volunteers to help us gather signatures. Please text CAN? https://t.co/6LSLDKunNx',41.883222,-87.632496
VinceEvans3311,b'Ashwaghandha (Indian Ginsing) Tea ?? with honey ? looks ? and taste ? surprisingly ? exactly like coffee with cream? https://t.co/D7vTYtY3Vd',41.883222,-87.632496
THCann4Cannabis,b'#Repost @thcann4cannabis with get_repost\n???\nGive the gift of getting relaxed this Christmas.  @thcann4cannabis? https://t.co/OkFZ98XQQx',41.883222,-87.632496
tmj_chi_itdb,"b'See our latest #Chicago, IL #job and click to apply: OpenShift Platform Architect - https://t.co/Cj14bBptt5 #Database #Hiring #CareerArc'",41.8781136,-87.6297982
tmj_CHI_secure,"b'See our latest #Chicago, IL #job and click to apply: 2nd shift Security Shift Supervisor for Professional Setting -? https://t.co/QrNzEPcOub'",41.8781136,-87.6297982
ColinRohlfing,b'Amal Clooney thanks the Sustainable building industry for all the work that they do. That?s an honor given her work? https://t.co/0iimCBUxK1',41.883222,-87.632496
tmj_chi_jobs,b'Can you recommend anyone for this #job? Accenture Research Analyst Summer Internship ? Data Science -? https://t.co/aIbrLRH91I',41.8781136,-87.6297982
JPavelec,"b'#cloudy #chicago #cloudgate @ Chicago, Illinois https://t.co/bwvqx6Ulso'",41.883222,-87.632496
GiveWitness,b'Fall moody ports with ? @nthony_jose in frame.\n.\n.\n.\n.\n#majestic_people #visualauthority #bravogreatphoto? https://t.co/HRIIK0esBB',41.883222,-87.632496
attCAREERS,"b'Interested in a #job in #Chicago, IL? This could be a great fit: https://t.co/DoMkvptwQi #Sales #Hiring'",41.8781136,-87.6297982
LauHerreraBlog,"b'Chicago  night  life is amazing, one of the best in the world // La vida de noche en Chicago es una de las m?s dive? https://t.co/PF0auglPhf'",41.88661,-87.63138
